Region,Agreement_Type,Provider,Generation_Type,Generation_Capacity,PeriodCode,value,Date,temperature_2m_mean,wind_speed_10m_max,daylight_duration,snowfall_sum,temperature_2m_max,temperature_2m_min,precipitation_sum
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,3053.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"10,5",KWH01,254.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,3518.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"10,68",KWH01,0.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"23,9",KWH01,3131.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"7,5",KWH01,3260.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,94",KWH01,3921.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"19,88",KWH01,1566.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Nutolęs gaminantis vartotojas,0,KWH01,1963.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,975",KWH01,3637.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"13,95",KWH01,2671.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"13,13",KWH01,1186.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,99",KWH01,3027.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,6",KWH01,3238.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,92",KWH01,153.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,2902.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"18,8",KWH01,3664.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,75",KWH01,928.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
